User,Driver,pickup,drop,cost,distance,date,time
user1,pradeepbhai,"Stanza, Ahmedabad","Akshardham Temple, Gandhinagar",660.2,32.76,2023-01-16,21:42:00
user1,pradeepbhai,"lal darwaja, ahmedabad","LD, Ahmedabad",73.0,3.4,2023-08-26,20:55:00
user1,pradeepbhai,"Sabarmati Ashram, Ahmedabad","courtyard marriott, Ahmedabad",162.8,7.89,2023-02-07,15:37:00
user1,pradeepbhai,"shott, Ahmedabad","Kankaria Lake, Ahmedabad",258.8,12.69,2023-05-23,06:49:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","nirma university, Ahmedabad",239.6,11.73,2023-03-28,02:57:00
user1,pradeepbhai,"Akshardham Temple, Gandhinagar","Iskcon Temple, Ahmedabad",566.8,28.09,2023-04-22,04:39:00
user1,pradeepbhai,"Sarkhej Roza, Ahmedabad","Iskcon Temple, Ahmedabad",85.6,4.03,2023-05-20,11:19:00
user1,pradeepbhai,"Nehru Bridge, Ahmedabad","Law Garden, Ahmedabad",32.4,1.37,2023-05-25,20:58:00
user1,pradeepbhai,"shott, Ahmedabad","Iskcon Temple, Ahmedabad",65.6,3.03,2023-06-08,16:50:00
user1,Tanasha,"Iskcon Temple, Ahmedabad","Iskcon Temple, Ahmedabad",5.0,0.0,2023-11-03,01:39:00
user1,pradeepbhai,"shott, Ahmedabad","courtyard marriott, Ahmedabad",75.2,3.51,2023-08-19,10:03:00
user1,Tanasha,"Science City, Ahmedabad","shott, Ahmedabad",83.8,3.94,2023-03-18,19:22:00
user1,pradeepbhai,"Vastrapur Lake, Ahmedabad","Iskcon Temple, Ahmedabad",55.4,2.52,2023-10-15,13:28:00
user1,Tanasha,"Kankaria Lake, Ahmedabad","Manek Chowk, Ahmedabad",48.6,2.18,2023-01-22,08:42:00
user1,pradeepbhai,"lal darwaja, ahmedabad","Nehru Bridge, Ahmedabad",15.4,0.52,2023-01-22,21:11:00
user1,Tanasha,"shott, Ahmedabad","Vastrapur Lake, Ahmedabad",100.6,4.78,2023-07-24,19:05:00
user1,Tanasha,"Law Garden, Ahmedabad","PrahladNagar Garden, Ahmedabad",121.4,5.82,2023-04-05,11:05:00
user1,Tanasha,"Sarkhej Roza, Ahmedabad","Iskcon Temple, Ahmedabad",85.6,4.03,2023-10-02,17:05:00
user1,Tanasha,"Kankaria Lake, Ahmedabad","Taj Skyline, ahmedabad",260.2,12.76,2023-05-21,03:44:00
user1,pradeepbhai,"Stanza, Ahmedabad","lal darwaja, ahmedabad",251.4,12.32,2023-05-04,15:26:00
user1,pradeepbhai,"nirma university, Ahmedabad","PrahladNagar Garden, Ahmedabad",272.4,13.37,2023-01-15,01:30:00
user1,pradeepbhai,"shott, Ahmedabad","Manek Chowk, Ahmedabad",227.8,11.14,2023-02-12,11:35:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","Kankaria Lake, Ahmedabad",197.2,9.61,2023-07-16,02:24:00
user1,pradeepbhai,"courtyard marriott, Ahmedabad","Manek Chowk, Ahmedabad",163.0,7.9,2023-07-23,15:40:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","shott, Ahmedabad",65.6,3.03,2023-03-24,00:59:00
user1,pradeepbhai,"Stanza, Ahmedabad","Law Garden, Ahmedabad",216.6,10.58,2023-01-25,17:05:00
user1,pradeepbhai,"Akshardham Temple, Gandhinagar","Jama Masjid, Ahmedabad",494.6,24.48,2023-06-23,19:02:00
user1,pradeepbhai,"Akshardham Temple, Gandhinagar","Science City, Ahmedabad",502.4,24.87,2023-09-03,13:34:00
user1,Tanasha,"Sarkhej Roza, Ahmedabad","Iskcon Temple, Ahmedabad",85.6,4.03,2023-02-17,12:08:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","Vastrapur Lake, Ahmedabad",127.6,6.13,2023-10-22,05:37:00
user1,Tanasha,"Taj Skyline, ahmedabad","LD, Ahmedabad",140.0,6.75,2023-11-15,20:46:00
user1,Tanasha,"Jama Masjid, Ahmedabad","Stanza, Ahmedabad",267.6,13.13,2023-11-15,13:45:00
user1,pradeepbhai,"Vastrapur Lake, Ahmedabad","Iskcon Temple, Ahmedabad",55.4,2.52,2023-01-18,03:05:00
user1,pradeepbhai,"nirma university, Ahmedabad","Law Garden, Ahmedabad",233.4,11.42,2023-06-08,13:26:00
user1,Tanasha,"Kankaria Lake, Ahmedabad","Sabarmati Ashram, Ahmedabad",130.8,6.29,2023-07-12,10:35:00
user1,Tanasha,"Akshardham Temple, Gandhinagar","Manek Chowk, Ahmedabad",493.8,24.44,2023-08-04,16:48:00
user1,pradeepbhai,"courtyard marriott, Ahmedabad","lal darwaja, ahmedabad",141.6,6.83,2023-07-04,23:32:00
user1,pradeepbhai,"courtyard marriott, Ahmedabad","Kankaria Lake, Ahmedabad",190.6,9.28,2023-08-28,14:56:00
user1,pradeepbhai,"Nehru Bridge, Ahmedabad","Iskcon Temple, Ahmedabad",143.6,6.93,2023-11-24,11:33:00
user1,Tanasha,"Law Garden, Ahmedabad","LD, Ahmedabad",37.6,1.63,2023-07-11,02:41:00
user1,pradeepbhai,"Stanza, Ahmedabad","lal darwaja, ahmedabad",251.4,12.32,2023-02-16,02:32:00
user1,pradeepbhai,"lal darwaja, ahmedabad","nirma university, Ahmedabad",246.2,12.06,2023-10-09,00:17:00
user1,Tanasha,"Sarkhej Roza, Ahmedabad","Stanza, Ahmedabad",107.0,5.1,2023-08-08,02:36:00
user1,Tanasha,"Kankaria Lake, Ahmedabad","Akshardham Temple, Gandhinagar",522.6,25.88,2023-09-16,01:27:00
user1,Tanasha,"nirma university, Ahmedabad","Iskcon Temple, Ahmedabad",239.6,11.73,2023-03-25,23:04:00
user1,Tanasha,"Sabarmati Ashram, Ahmedabad","courtyard marriott, Ahmedabad",162.8,7.89,2023-01-11,15:52:00
user1,pradeepbhai,"Akshardham Temple, Gandhinagar","Sabarmati Ashram, Ahmedabad",425.8,21.04,2023-06-27,04:23:00
user1,Tanasha,"Akshardham Temple, Gandhinagar","Taj Skyline, ahmedabad",573.6,28.43,2023-01-20,06:11:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","Iskcon Temple, Ahmedabad",168.6,8.18,2023-10-25,14:50:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","Taj Skyline, ahmedabad",224.0,10.95,2023-03-09,15:10:00
user1,pradeepbhai,"courtyard marriott, Ahmedabad","LD, Ahmedabad",77.0,3.6,2023-03-02,09:22:00
user1,pradeepbhai,"Kankaria Lake, Ahmedabad","Iskcon Temple, Ahmedabad",201.2,9.81,2023-08-15,03:18:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","Vastrapur Lake, Ahmedabad",78.2,3.66,2023-10-14,05:37:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","Nehru Bridge, Ahmedabad",148.4,7.17,2023-09-13,10:51:00
user1,Tanasha,"Kankaria Lake, Ahmedabad","Stanza, Ahmedabad",292.6,14.38,2023-05-09,20:25:00
user1,pradeepbhai,"courtyard marriott, Ahmedabad","Nehru Bridge, Ahmedabad",133.0,6.4,2023-04-17,17:15:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","lal darwaja, ahmedabad",21.4,0.82,2023-10-03,00:03:00
user1,pradeepbhai,"Law Garden, Ahmedabad","courtyard marriott, Ahmedabad",105.6,5.03,2023-03-10,20:04:00
user1,pradeepbhai,"Sarkhej Roza, Ahmedabad","Iskcon Temple, Ahmedabad",85.6,4.03,2023-06-13,23:38:00
user1,pradeepbhai,"lal darwaja, ahmedabad","Vastrapur Lake, Ahmedabad",111.6,5.33,2023-09-11,08:19:00
user1,Tanasha,"LD, Ahmedabad","Manek Chowk, Ahmedabad",94.2,4.46,2023-11-13,05:33:00
user1,Tanasha,"Iskcon Temple, Ahmedabad","PrahladNagar Garden, Ahmedabad",39.0,1.7,2023-04-16,11:49:00
user1,pradeepbhai,"Law Garden, Ahmedabad","Nehru Bridge, Ahmedabad",32.4,1.37,2023-10-19,12:43:00
user1,pradeepbhai,"Sarkhej Roza, Ahmedabad","Taj Skyline, ahmedabad",129.6,6.23,2023-05-10,08:42:00
user1,pradeepbhai,"Sabarmati Ashram, Ahmedabad","lal darwaja, ahmedabad",84.8,3.99,2023-07-27,12:23:00
user1,pradeepbhai,"Stanza, Ahmedabad","Sarkhej Roza, Ahmedabad",107.0,5.1,2023-02-28,07:12:00
user1,Tanasha,"shott, Ahmedabad","Iskcon Temple, Ahmedabad",65.6,3.03,2023-04-07,00:33:00
user1,Tanasha,"courtyard marriott, Ahmedabad","PrahladNagar Garden, Ahmedabad",40.0,1.75,2023-06-07,00:03:00
user1,Tanasha,"Sabarmati Ashram, Ahmedabad","nirma university, Ahmedabad",173.2,8.41,2023-10-22,11:03:00
user1,pradeepbhai,"Vastrapur Lake, Ahmedabad","nirma university, Ahmedabad",206.8,10.09,2023-10-28,09:55:00
user1,Tanasha,"LD, Ahmedabad","PrahladNagar Garden, Ahmedabad",99.0,4.7,2023-02-27,03:38:00
user1,pradeepbhai,"Taj Skyline, ahmedabad","Sarkhej Roza, Ahmedabad",129.6,6.23,2023-04-22,09:29:00
user1,Tanasha,"PrahladNagar Garden, Ahmedabad","Law Garden, Ahmedabad",121.4,5.82,2023-05-14,01:26:00
user1,pradeepbhai,"nirma university, Ahmedabad","Kankaria Lake, Ahmedabad",298.4,14.67,2023-08-01,20:59:00
user1,pradeepbhai,"lal darwaja, ahmedabad","shott, Ahmedabad",206.4,10.07,2023-08-15,23:47:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","LD, Ahmedabad",87.4,4.12,2023-04-01,10:23:00
user1,pradeepbhai,"lal darwaja, ahmedabad","Nehru Bridge, Ahmedabad",15.4,0.52,2023-05-06,08:47:00
user1,pradeepbhai,"Law Garden, Ahmedabad","LD, Ahmedabad",37.6,1.63,2023-04-12,16:19:00
user1,pradeepbhai,"Vastrapur Lake, Ahmedabad","PrahladNagar Garden, Ahmedabad",78.2,3.66,2023-09-09,01:32:00
user1,pradeepbhai,"courtyard marriott, Ahmedabad","LD, Ahmedabad",77.0,3.6,2023-10-21,16:52:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","Sabarmati Ashram, Ahmedabad",190.0,9.25,2023-09-10,10:06:00
user1,Tanasha,"Nehru Bridge, Ahmedabad","Iskcon Temple, Ahmedabad",143.6,6.93,2023-05-22,20:46:00
user1,pradeepbhai,"shott, Ahmedabad","Science City, Ahmedabad",83.8,3.94,2023-08-03,13:19:00
user1,pradeepbhai,"Science City, Ahmedabad","Iskcon Temple, Ahmedabad",117.4,5.62,2023-03-04,15:56:00
user1,pradeepbhai,"Stanza, Ahmedabad","Taj Skyline, ahmedabad",93.2,4.41,2023-11-15,07:20:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","Law Garden, Ahmedabad",116.2,5.56,2023-02-04,08:57:00
user1,pradeepbhai,"Vastrapur Lake, Ahmedabad","Stanza, Ahmedabad",160.8,7.79,2023-07-04,10:58:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","Nehru Bridge, Ahmedabad",30.8,1.29,2023-06-19,22:24:00
user1,pradeepbhai,"lal darwaja, ahmedabad","PrahladNagar Garden, Ahmedabad",155.6,7.53,2023-04-02,21:28:00
user1,pradeepbhai,"Nehru Bridge, Ahmedabad","Sarkhej Roza, Ahmedabad",166.8,8.09,2023-01-08,19:15:00
user1,Tanasha,"Vastrapur Lake, Ahmedabad","Law Garden, Ahmedabad",76.2,3.56,2023-08-21,01:26:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","Akshardham Temple, Gandhinagar",595.0,29.5,2023-07-02,20:12:00
user1,pradeepbhai,"Sabarmati Ashram, Ahmedabad","Iskcon Temple, Ahmedabad",171.8,8.34,2023-01-04,09:40:00
user1,Tanasha,"Iskcon Temple, Ahmedabad","lal darwaja, ahmedabad",152.2,7.36,2023-01-21,01:06:00
user1,Tanasha,"shott, Ahmedabad","LD, Ahmedabad",138.6,6.68,2023-04-05,14:06:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","lal darwaja, ahmedabad",152.2,7.36,2023-05-14,05:46:00
user1,pradeepbhai,"Law Garden, Ahmedabad","Sarkhej Roza, Ahmedabad",142.8,6.89,2023-10-05,06:15:00
user1,pradeepbhai,"lal darwaja, ahmedabad","Iskcon Temple, Ahmedabad",152.2,7.36,2023-04-18,19:17:00
user1,pradeepbhai,"nirma university, Ahmedabad","Akshardham Temple, Gandhinagar",352.2,17.36,2023-03-18,22:11:00
user1,pradeepbhai,"Law Garden, Ahmedabad","shott, Ahmedabad",170.4,8.27,2023-02-19,13:35:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","courtyard marriott, Ahmedabad",15.6,0.53,2023-09-24,11:49:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","Nehru Bridge, Ahmedabad",30.8,1.29,2023-11-02,09:29:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","courtyard marriott, Ahmedabad",15.6,0.53,2023-09-13,10:34:00
user1,Tanasha,"Science City, Ahmedabad","Taj Skyline, ahmedabad",84.4,3.97,2023-05-08,06:28:00
user1,Tanasha,"PrahladNagar Garden, Ahmedabad","nirma university, Ahmedabad",272.4,13.37,2023-09-06,05:30:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","nirma university, Ahmedabad",272.4,13.37,2023-05-03,10:43:00
user1,pradeepbhai,"Kankaria Lake, Ahmedabad","PrahladNagar Garden, Ahmedabad",197.2,9.61,2023-03-20,12:45:00
user1,pradeepbhai,"Stanza, Ahmedabad","Sarkhej Roza, Ahmedabad",107.0,5.1,2023-07-22,20:01:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","Sabarmati Ashram, Ahmedabad",86.6,4.08,2023-11-06,04:46:00
user1,pradeepbhai,"Vastrapur Lake, Ahmedabad","Iskcon Temple, Ahmedabad",55.4,2.52,2023-04-09,14:19:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","Manek Chowk, Ahmedabad",173.6,8.43,2023-08-14,15:54:00
user1,pradeepbhai,"Taj Skyline, ahmedabad","Jama Masjid, Ahmedabad",224.0,10.95,2023-08-07,11:21:00
user1,pradeepbhai,"Akshardham Temple, Gandhinagar","shott, Ahmedabad",572.6,28.38,2023-07-11,13:07:00
user1,pradeepbhai,"LD, Ahmedabad","shott, Ahmedabad",138.6,6.68,2023-10-24,20:50:00
user1,Tanasha,"Sarkhej Roza, Ahmedabad","Akshardham Temple, Gandhinagar",634.6,31.48,2023-03-23,12:59:00
user1,pradeepbhai,"Science City, Ahmedabad","Manek Chowk, Ahmedabad",232.8,11.39,2023-04-12,10:21:00
user1,pradeepbhai,"Vastrapur Lake, Ahmedabad","Stanza, Ahmedabad",160.8,7.79,2023-07-12,12:15:00
user1,Tanasha,"Sarkhej Roza, Ahmedabad","PrahladNagar Garden, Ahmedabad",51.6,2.33,2023-08-25,21:54:00
user1,pradeepbhai,"Stanza, Ahmedabad","Akshardham Temple, Gandhinagar",660.2,32.76,2023-02-05,23:09:00
user1,pradeepbhai,"Stanza, Ahmedabad","lal darwaja, ahmedabad",251.4,12.32,2023-05-03,02:16:00
user1,pradeepbhai,"Nehru Bridge, Ahmedabad","courtyard marriott, Ahmedabad",133.0,6.4,2023-03-26,05:26:00
user1,Tanasha,"Akshardham Temple, Gandhinagar","Law Garden, Ahmedabad",510.8,25.29,2023-09-24,09:39:00
user1,Tanasha,"courtyard marriott, Ahmedabad","nirma university, Ahmedabad",237.6,11.63,2023-10-06,04:22:00
user1,Tanasha,"Iskcon Temple, Ahmedabad","Sabarmati Ashram, Ahmedabad",171.8,8.34,2023-08-14,20:31:00
user1,Tanasha,"Vastrapur Lake, Ahmedabad","Sabarmati Ashram, Ahmedabad",121.4,5.82,2023-01-11,17:16:00
user1,Tanasha,"Taj Skyline, ahmedabad","Law Garden, Ahmedabad",171.8,8.34,2023-06-10,07:20:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","Sabarmati Ashram, Ahmedabad",171.8,8.34,2023-03-15,11:54:00
user1,pradeepbhai,"Nehru Bridge, Ahmedabad","Jama Masjid, Ahmedabad",30.8,1.29,2023-04-03,05:01:00
user1,pradeepbhai,"nirma university, Ahmedabad","lal darwaja, ahmedabad",246.2,12.06,2023-07-12,12:31:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","Science City, Ahmedabad",228.0,11.15,2023-05-20,05:36:00
user1,Tanasha,"PrahladNagar Garden, Ahmedabad","nirma university, Ahmedabad",272.4,13.37,2023-11-07,18:00:00
user1,pradeepbhai,"Science City, Ahmedabad","shott, Ahmedabad",83.8,3.94,2023-06-28,15:53:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","nirma university, Ahmedabad",252.4,12.37,2023-04-06,06:57:00
user1,pradeepbhai,"Sabarmati Ashram, Ahmedabad","Akshardham Temple, Gandhinagar",425.8,21.04,2023-10-20,03:44:00
user1,Tanasha,"Stanza, Ahmedabad","Iskcon Temple, Ahmedabad",110.4,5.27,2023-06-14,22:29:00
user1,pradeepbhai,"Science City, Ahmedabad","Jama Masjid, Ahmedabad",228.0,11.15,2023-05-25,14:20:00
user1,pradeepbhai,"Nehru Bridge, Ahmedabad","Taj Skyline, ahmedabad",198.2,9.66,2023-03-15,09:57:00
user1,Tanasha,"Stanza, Ahmedabad","Jama Masjid, Ahmedabad",267.6,13.13,2023-05-19,06:39:00
user1,Tanasha,"nirma university, Ahmedabad","Sabarmati Ashram, Ahmedabad",173.2,8.41,2023-03-19,02:47:00
user1,pradeepbhai,"Akshardham Temple, Gandhinagar","Taj Skyline, ahmedabad",573.6,28.43,2023-11-20,23:47:00
user1,pradeepbhai,"courtyard marriott, Ahmedabad","Sabarmati Ashram, Ahmedabad",162.8,7.89,2023-01-24,20:19:00
user1,pradeepbhai,"Taj Skyline, ahmedabad","Akshardham Temple, Gandhinagar",573.6,28.43,2023-10-12,19:16:00
user1,pradeepbhai,"Akshardham Temple, Gandhinagar","Iskcon Temple, Ahmedabad",566.8,28.09,2023-11-27,19:07:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","Akshardham Temple, Gandhinagar",595.0,29.5,2023-08-23,05:13:00
user1,pradeepbhai,"Law Garden, Ahmedabad","Sabarmati Ashram, Ahmedabad",89.8,4.24,2023-09-23,18:21:00
user1,Tanasha,"nirma university, Ahmedabad","Kankaria Lake, Ahmedabad",298.4,14.67,2023-07-22,17:38:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","Sabarmati Ashram, Ahmedabad",190.0,9.25,2023-07-22,08:42:00
user1,pradeepbhai,"Law Garden, Ahmedabad","courtyard marriott, Ahmedabad",105.6,5.03,2023-10-04,05:11:00
user1,pradeepbhai,"LD, Ahmedabad","Jama Masjid, Ahmedabad",89.0,4.2,2023-02-17,22:20:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","Kankaria Lake, Ahmedabad",201.2,9.81,2023-10-15,00:32:00
user1,pradeepbhai,"Taj Skyline, ahmedabad","Vastrapur Lake, Ahmedabad",102.0,4.85,2023-10-09,04:12:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","Vastrapur Lake, Ahmedabad",55.4,2.52,2023-04-05,11:30:00
user1,pradeepbhai,"nirma university, Ahmedabad","Akshardham Temple, Gandhinagar",352.2,17.36,2023-01-08,11:50:00
user1,pradeepbhai,"Law Garden, Ahmedabad","Manek Chowk, Ahmedabad",62.6,2.88,2023-04-06,10:25:00
user1,pradeepbhai,"Vastrapur Lake, Ahmedabad","Law Garden, Ahmedabad",76.2,3.56,2023-04-13,00:01:00
user1,Tanasha,"Akshardham Temple, Gandhinagar","Law Garden, Ahmedabad",510.8,25.29,2023-04-22,13:44:00
user1,Tanasha,"Jama Masjid, Ahmedabad","LD, Ahmedabad",89.0,4.2,2023-10-15,18:45:00
user1,pradeepbhai,"LD, Ahmedabad","Iskcon Temple, Ahmedabad",87.4,4.12,2023-02-09,20:34:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","Sabarmati Ashram, Ahmedabad",190.0,9.25,2023-09-06,22:15:00
user1,pradeepbhai,"lal darwaja, ahmedabad","Jama Masjid, Ahmedabad",21.4,0.82,2023-02-24,23:47:00
user1,Tanasha,"Law Garden, Ahmedabad","Manek Chowk, Ahmedabad",62.6,2.88,2023-06-04,03:48:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","LD, Ahmedabad",87.4,4.12,2023-02-19,07:33:00
user1,pradeepbhai,"Kankaria Lake, Ahmedabad","Vastrapur Lake, Ahmedabad",166.4,8.07,2023-02-13,05:06:00
user1,pradeepbhai,"Law Garden, Ahmedabad","Vastrapur Lake, Ahmedabad",76.2,3.56,2023-08-20,01:49:00
user1,pradeepbhai,"Manek Chowk, Ahmedabad","LD, Ahmedabad",94.2,4.46,2023-03-17,04:26:00
user1,pradeepbhai,"Nehru Bridge, Ahmedabad","Science City, Ahmedabad",203.4,9.92,2023-01-03,05:33:00
user1,Tanasha,"Iskcon Temple, Ahmedabad","Kankaria Lake, Ahmedabad",201.2,9.81,2023-01-03,04:54:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","Law Garden, Ahmedabad",57.6,2.63,2023-01-05,18:56:00
user1,pradeepbhai,"lal darwaja, ahmedabad","Manek Chowk, Ahmedabad",26.4,1.07,2023-10-06,17:02:00
user1,pradeepbhai,"courtyard marriott, Ahmedabad","Akshardham Temple, Gandhinagar",561.4,27.82,2023-03-02,16:11:00
user1,Tanasha,"Stanza, Ahmedabad","Sarkhej Roza, Ahmedabad",107.0,5.1,2023-05-14,04:24:00
user1,pradeepbhai,"Manek Chowk, Ahmedabad","Science City, Ahmedabad",232.8,11.39,2023-08-11,18:25:00
user1,pradeepbhai,"Kankaria Lake, Ahmedabad","Science City, Ahmedabad",272.0,13.35,2023-07-11,01:52:00
user1,pradeepbhai,"Akshardham Temple, Gandhinagar","Science City, Ahmedabad",502.4,24.87,2023-06-24,23:42:00
